Username,Subscribe Date,Current Tier,Tenure,Streak,Sub Type,Founder
ivan_san_jose_hierro,2025-04-04T22:27:48Z,Tier 1,3,1,prime,false
isindor,2025-04-11T21:57:29Z,Tier 1,3,3,prime,false
avegalf1,2025-04-20T18:32:09Z,Tier 1,6,3,prime,false
javilosana,2025-04-16T08:13:32Z,Tier 1,5,5,prime,false
minotaurovk,2022-04-01T21:18:32Z,Tier 1,43,43,recurring,true
rinconjosete,2024-03-03T13:47:23Z,Tier 1,14,14,recurring,false
drpakus,2025-03-27T21:15:57Z,Tier 1,18,16,prime,false
manzanasenfrentadas,2021-09-25T09:13:42Z,Tier 3,44,44,recurring,false
roger1318,2024-08-31T22:44:43Z,Tier 1,11,11,recurring,false
wandoth2,2025-04-04T20:04:03Z,Tier 1,14,12,prime,false
newloreto,2025-04-18T20:26:20Z,Tier 1,2,1,prime,false
domingoespejo,2025-03-28T22:02:00Z,Tier 1,27,24,prime,true
mactrompa,2025-04-20T19:56:30Z,Tier 1,33,4,prime,false
dxl2610,2025-04-16T12:08:59Z,Tier 1,19,19,prime,false
santibccc,2025-03-28T22:07:19Z,Tier 1,10,1,prime,false
marcusfernandez,2025-04-11T22:31:05Z,Tier 1,14,14,prime,false
antonio_ruiz80,2025-03-28T22:15:02Z,Tier 1,4,4,prime,false
zeto11,2025-04-23T16:08:03Z,Tier 1,2,2,prime,false
peptubeshow,2025-04-07T08:47:31Z,Tier 1,7,7,prime,false
frikilaura,2025-04-22T14:24:49Z,Tier 1,6,4,prime,false
pedro_riv_,2023-08-21T19:39:00Z,Tier 1,23,21,recurring,false
martin_ceb,2025-04-19T07:28:37Z,Tier 1,17,10,prime,false
jeliga75,2025-04-06T14:20:17Z,Tier 1,1,1,prime,false
climbeo,2025-04-25T22:10:19Z,Tier 1,5,1,prime,false
fiebrematica,2025-04-25T22:05:19Z,Tier 1,22,22,prime,false
mikelmats,2025-04-07T07:07:20Z,Tier 1,6,5,prime,false
chendorro,2025-04-25T18:49:32Z,Tier 1,26,25,prime,false
jabalinch,2025-04-18T07:10:58Z,Tier 1,41,36,prime,true
suecos19,2025-04-15T10:22:33Z,Tier 1,7,7,prime,false
david1977es,2025-04-03T08:07:32Z,Tier 1,24,22,prime,false
unsevillanomas,2025-04-25T22:12:24Z,Tier 1,29,8,prime,true
subidon1,2025-04-23T09:55:12Z,Tier 1,14,9,prime,false
andrewroigcameo,2024-11-15T23:19:36Z,Tier 1,9,6,recurring,false
adriannieto29,2025-04-22T11:16:22Z,Tier 1,12,5,prime,false
egpall,2025-04-25T16:59:33Z,Tier 1,19,12,prime,false
joseluisvelazq,2025-04-22T18:01:40Z,Tier 1,30,22,prime,true
gamees87,2024-10-06T10:22:02Z,Tier 1,8,8,recurring,false
zidani69,2025-04-05T05:56:54Z,Tier 1,18,1,prime,true
sebasmor4000,2025-04-22T15:27:49Z,Tier 1,35,3,prime,true
rafa_applex4,2025-04-26T16:44:26Z,Tier 1,13,13,prime,false
